id,programme_id,starts_at,ends_at,session_number,created_at,updated_at
e2376281-09d1-46af-bd62-c901d4c1b93e,a6b3ba31-4481-4099-b10b-483ad42f86bb,2026-09-10 08:00:00+00,2026-09-10 10:00:00+00,1,2026-08-26 07:27:59.332962+00,2026-08-26 07:27:59.332962+00
4a48d386-64a7-4398-a114-a6e0b8da3862,a6b3ba31-4481-4099-b10b-483ad42f86bb,2026-09-15 08:00:00+00,2026-09-15 10:00:00+00,2,2026-08-26 07:28:17.96661+00,2026-08-26 07:28:17.96661+00
5f3fc7a2-c973-45e6-be40-bec1372596e3,a6b3ba31-4481-4099-b10b-483ad42f86bb,2026-09-20 08:00:00+00,2026-09-20 10:00:00+00,3,2026-08-26 07:28:37.441325+00,2026-08-26 07:28:37.441325+00
